Name,VIC Locus 1 - 1,VIC Locus 1 - 2
KBTO_016_6B_H05,263,263
KBTO_015_6B_G05,263,263
KBTO_014_6B_F05,263,263
KBTO_013_6B_E05,262,262
KBTO_012_6B_H03,,
KBTO_012_6B_H01,,
KBTO_012_6B_D05,,
KBTO_011_6B_D03,263,263
KBTO_011_6B_C05,263,263
KBTO_010_6B_C03,263,263
KBTO_010_6B_B05,263,263
KBTO_009_6B_B03,262,262
KBTO_009_6B_A05,263,263
KBTO_008_6B_A03,263,263
KBTO_007_6B_G01,263,263
KBTO_006_6B_F01,263,263
KBTO_005_6B_E01,263,263
KBTO_004_6B_D01,263,263
KBTO_003_6B_G03,263,263
KBTO_003_6B_C01,263,263
KBTO_002_6B_F03,263,263
KBTO_002_6B_B01,263,263
KBTO_001_6B_E03,263,263
KBTO_001_6B_A01,263,263


