Name,KBTO.168b - 1,KBTO.168b - 2
14A018_KBTO.168_KBTO.330_A04,213,213
14A018_KBTO.168b_A07,213,213
14A037_KBTO.168_KBTO.330_B04,217,217
14A037_KBTO.168b_B07,217,217
14A038_KBTO.168_KBTO.330_C04,217,217
14A038_KBTO.168b_C07,217,217
14A039_KBTO.168_KBTO.330_D04,217,217
14A039_KBTO.168b_D07,217,217
14A040_KBTO.168_KBTO.330_E04,213,217
14A040_KBTO.168b_E07,213,217
14A041_KBTO.168_KBTO.330_F04,213,217
14A041_KBTO.168b_F07,213,217
14A042_KBTO.168_KBTO.330_G04,217,217
14A042_KBTO.168b_G07,217,217
14A043_KBTO.168_KBTO.330_H04,No peaks,No peaks
14A043_KBTO.168b_H07,217,217
14A044_KBTO.168_KBTO.330_A09,213,213
14A044_KBTO.168b_A08,213,213
14A045_KBTO.168_KBTO.330_B09,213,213
14A045_KBTO.168b_B08,213,213
14A046_KBTO.168_KBTO.330_C09,217,217
14A046_KBTO.168b_C08,217,217
14A047_KBTO.168_KBTO.330_D09,213,213
14A047_KBTO.168b_D08,213,213
14A048_KBTO.168_KBTO.330_E09,213,213
14A048_KBTO.168b_E08,213,213
17H030_KBTO.168_KBTO.330_F09,213,213
17H030_KBTO.168b_F08,213,213
17H060_KBTO.168_KBTO.330_G09,213,213
17H060_KBTO.168b_G08,213,213


