Name,KBTO.018b - 1,KBTO.018b - 2
14A018_KBTO.018_KBTO.294_A05,230,242
14A018_KBTO.018b_A09,230,242
14A037_KBTO.018_KBTO.294_B05,234,234
14A037_KBTO.018b_B09,234,234
14A038_KBTO.018_KBTO.294_C05,230,234
14A038_KBTO.018b_C09,230,234
14A039_KBTO.018_KBTO.294_D05,230,230
14A039_KBTO.018b_D09,230,230
14A040_KBTO.018_KBTO.294_E05,226,226
14A040_KBTO.018b_E09,226,226
14A041_KBTO.018_KBTO.294_F05,222,230
14A041_KBTO.018b_F09,222,230
14A042_KBTO.018_KBTO.294_G05,230,238
14A042_KBTO.018b_G09,230,238
14A043_KBTO.018_KBTO.294_H05,226,230
14A043_KBTO.018b_H09,226,230
14A044_KBTO.018_KBTO.294_A10,230,234
14A044_KBTO.018b_A10,230,234
14A045_KBTO.018_KBTO.294_B10,226,230
14A045_KBTO.018b_B10,226,230
14A046_KBTO.018_KBTO.294_C10,226,230
14A046_KBTO.018b_C10,226,230
14A047_KBTO.018_KBTO.294_D10,234,246
14A047_KBTO.018b_D10,234,246
14A048_KBTO.018_KBTO.294_E10,218,230
14A048_KBTO.018b_E10,No peaks,No peaks
17H030_KBTO.018_KBTO.294_F10,222,234
17H030_KBTO.018b_F10,222,234
17H060_KBTO.018_KBTO.294_G10,222,234
17H060_KBTO.018b_G10,222,234


