Sample-ID,Population,locus.5A.a,locus.5A.b,locus.8A.a,locus.8A.b,locus.6B.a,locus.6B.b,locus.6C.a,locus.6C.b,locus.3D.a,locus.3D.b,locus.6D.a,locus.6D.b,locus.7D.a,locus.7D.b,locus.11.a,locus.11.b,locus.10.a,locus.10.b,locus.18.a,locus.18.b,locus.24.a,locus.24.b,locus.107.a,locus.107.b,locus.112.a,locus.112.b,locus.132.a,locus.132.b,locus.144.a,locus.144.b,locus.333.a,locus.333.b,locus.330.a,locus.330.b,locus.294.a,locus.294.b,locus.318.a,locus.318.b,locus.255.a,locus.255.b,locus.222.a,locus.222.b,locus.214.a,locus.214.b,locus.168.a,locus.168.b,locus.150.a,locus.150.b,locus.167.a,locus.167.b,locus.LOCUS13.a,locus.LOCUS13.b
KBTO1,pop1 ,264,264,267,267,263,263,223,223,265,265,367,367,154,154,310,310,292,296,226,226,286,286,198,206,270,270,158,166,248,256,360,372,243,243,342,342,209,213,254,278,250,250,164,168,213,217,265,265,240,240,250,250
KBTO2,pop1 ,266,270,267,267,263,263,223,223,265,267,367,367,154,154,310,322,296,296,222,230,298,298,206,238,274,274,158,162,232,240,336,352,243,247,342,350,209,213,258,278,250,266,160,164,213,217,265,269,236,244,250,250
KBTO3,pop1,268,268,267,267,263,263,223,223,266,266,367,367,153,153,322,334,292,292,230,238,294,298,214,238,274,274,150,162,260,260,336,364,239,243,334,342,213,213,246,286,250,262,164,164,217,217,265,265,224,232,250,250
KBTO4,pop1,264,268,267,267,263,263,217,223,266,266,367,367,154,154,318,322,296,296,226,230,294,294,198,206,270,270,166,170,248,248,360,364,247,251,342,350,213,213,254,278,270,270,172,172,217,217,265,265,240,244,250,250
KBTO5,pop1,264,268,267,267,263,263,223,223,266,266,366,366,154,154,310,310,296,296,230,234,302,302,198,206,270,270,166,166,240,240,368,372,235,247,342,342,209,209,254,278,266,270,164,172,213,213,265,265,236,244,243,250
KBTO6,pop1,264,264,266,266,263,263,223,223,265,265,367,367,152,152,310,310,296,296,226,230,286,286,206,210,270,270,158,166,240,240,360,372,243,243,342,342,209,209,254,278,266,270,164,164,213,213,265,265,236,240,250,250
KBTO7,pop1,264,268,267,267,263,263,223,223,265,265,367,367,155,155,318,322,292,292,226,230,286,294,198,198,270,270,154,166,256,256,364,372,235,247,342,342,213,213,254,278,262,270,172,172,217,217,265,265,240,244,250,250
KBTO8,pop1,264,270,267,267,263,263,223,223,265,265,368,368,153,153,306,310,296,296,234,246,294,294,246,254,274,274,146,162,240,240,336,336,239,247,334,338,209,209,258,274,250,250,164,168,213,213,265,265,236,240,250,250
KBTO9,pop1,266,266,267,267,263,263,223,223,265,265,367,367,153,153,310,310,296,296,218,240,286,294,206,242,270,270,150,158,240,240,336,336,219,243,334,342,209,209,230,254,254,254,164,164,213,213,269,269,216,256,250,250
KBTO10,pop1,264,264,267,267,263,263,223,223,265,265,368,368,155,155,306,310,296,296,222,234,294,298,238,254,274,274,146,158,232,232,336,336,247,247,338,342,209,209,234,258,250,250,160,168,213,213,269,269,236,244,250,250
KBTO11,pop1,264,270,267,267,263,263,223,223,265,265,367,367,153,153,310,310,296,296,222,234,294,298,238,254,274,274,146,162,232,232,336,352,239,243,338,342,209,209,274,278,250,266,160,164,213,213,269,269,236,244,250,250
KBTO13,pop1,268,268,267,267,262,262,223,223,265,267,366,366,153,153,306,314,292,292,230,242,294,294,198,206,274,274,150,154,252,260,336,336,239,247,350,358,209,209,222,246,250,258,160,172,213,213,261,265,228,240,250,250
KBTO14,pop1,264,264,267,267,263,263,223,223,266,266,367,367,154,154,310,314,292,292,234,234,286,294,206,234,270,270,158,166,240,256,336,372,251,255,346,346,213,213,254,278,250,266,164,172,217,217,265,265,224,236,250,250
KBTO15,pop1,264,264,267,267,263,263,223,223,266,266,367,367,154,154,310,322,292,292,230,234,294,294,206,234,270,270,166,166,240,256,336,372,251,255,346,346,213,213,278,290,250,266,172,176,217,217,265,265,236,244,250,250
KBTO16,pop1,264,264,267,267,263,263,223,223,266,266,366,366,154,154,322,322,292,296,230,230,294,294,210,210,270,278,166,166,248,248,372,372,239,239,342,350,213,213,254,278,262,266,164,172,217,217,261,265,236,240,243,250
